"Name","top_k_experts","top_k_tokens","top_p_experts","top_p_tokens","execution_accuracy","exact_match","fallbacks","switches_wo_fallback","switches","execution_accuracy_easy","execution_accuracy_medium","fallbacks (Min)","switches (Min)","switches_wo_fallback (Min)","Commit","Created","Description","Runtime","GitHub","Group","End Time","Hostname","Job Type","ID","Notes","GPU Type","GPU Count","State","Sweep","Updated","User","Tags","method","metric.goal","metric.name","name","program","exact_match_easy","exact_match_extra","exact_match_hard","exact_match_medium","execution_accuracy_extra","execution_accuracy_hard","parameters.top_k_expertss","parameters.top_p_expertss","parameters.top_k_tokenss","parameters.top_p_tokenss","command"
"vivid-sweep-601","8","0","0","0","0.1","0.02","0","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T23:12:23.000Z","","793","","","2024-06-04T23:25:36.000Z","04ddb2d107b3","","hgl1tf2w","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T23:25:36.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"efficient-sweep-271","1","40","0","0","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T12:48:40.000Z","","824","","","2024-06-03T13:02:24.000Z","04ddb2d107b3","","hgw12zqm","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T13:02:24.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"fanciful-sweep-675","8","10","0.2","0.8","0.1","0.02","3574","0","73","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-05T08:23:37.000Z","","843","","","2024-06-05T08:37:40.000Z","04ddb2d107b3","","hihsre2v","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-05T08:37:40.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"grateful-sweep-420","2","20","0.8","0.8","0.1","0.02","1381","0","931","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T02:25:50.000Z","","801","","","2024-06-04T02:39:11.000Z","04ddb2d107b3","","dpc2qd57","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T02:39:11.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"lilac-sweep-222","1","10","0.2","0.2","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T08:16:19.000Z","","810","","","2024-06-03T08:29:49.000Z","04ddb2d107b3","","hk1bl2zz","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T08:29:49.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"silvery-sweep-414","2","20","0.6","0.6","0.1","0.02","2081","0","827","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T01:57:11.000Z","","803","","","2024-06-04T02:10:34.000Z","04ddb2d107b3","","hkq0ufpb","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T02:10:34.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"devoted-sweep-280","1","40","0.1","0.8","0.09","0.02","3837","0","0","0.2692307692307692","0.047619047619047616","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T13:37:44.000Z","","1248","","","2024-06-03T13:58:32.000Z","gx02","","dmup2hfd","-","NVIDIA A100-SXM4-80GB","3","finished","kalacugk","2024-06-03T13:58:32.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"silvery-sweep-22","0","0","0.2","0.6","0.1","0.02","3588","0","88","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-02T12:57:49.000Z","","821","","","2024-06-02T13:11:30.000Z","04ddb2d107b3","","dlhqzprl","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-02T13:11:30.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"graceful-sweep-177","1","0","0.8","0.2","0.1","0.02","3837","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-03T04:07:43.000Z","","810","","","2024-06-03T04:21:13.000Z","04ddb2d107b3","","djal9ijk","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-03T04:21:13.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"lively-sweep-489","4","5","0.1","0.6","0.1","0.02","3836","0","1","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-04T09:42:44.000Z","","829","","","2024-06-04T09:56:33.000Z","04ddb2d107b3","","hqi191m1","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-04T09:56:33.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
"sweet-sweep-901","0","0","0","0","0.1","0.02","0","0","0","0.2692307692307692","0.07142857142857142","0","0","0","e8808489de7eae873a0c0d9502c7b070444b4d5f","2024-06-06T09:13:07.000Z","","791","","","2024-06-06T09:26:18.000Z","04ddb2d107b3","","hsqduy9s","-","NVIDIA H100 80GB HBM3","8","finished","kalacugk","2024-06-06T09:26:18.000Z","","","","","","","","0.07692307692307693","0","0","0","0","0","","","","",""
